0.5,7.99
1,7.86
2,7.39
3,6.84
4,6.23
5,5.6
6,4.99
7,4.4
8,3.84
9,3.3
10,2.84
11,2.42
12,2.04
13,1.73
14,1.44
15,1.2
16,1
17,0.82
18,0.66
19,0.52
20,0.41
